id,indicator,domain,breakpointYear,bestYear,bestValue,currentValue,pctWorseThanBest,verdict,yearsLost,description,history
rev-tb,"Tuberculosis incidence rate (per 100,000 population)",D3 Communicable Diseases,2020,2019,338,375,10.9,Reversal,12.2,"After two decades of steady downward momentum, post-2020 diagnostic disruption reversed TB incidence back to 2011 levels.",[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]
rev-malaria,"Malaria incidence (per 1,000 population at risk)",D3 Communicable Diseases,2020,2019,1.4,12.1,764.3,Reversal,8.5,"Malaria was on the brink of regional elimination before containment programs stalled, causing an explosive 765% resurgence.",[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]
rev-dtp3,DTP3 immunisation coverage among 1-year-olds (%),D6 Reproductive & Child Health,2020,2019,91,45,50.5,Reversal,22,"Routine childhood vaccination halved in 2021, erasing more than two decades of global immunization gains.",[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]
rev-u5m,"Under-5 mortality rate (per 1,000 live births)",D1 Mortality & Life Expectancy,2020,2019,43.2,47.8,10.6,Steady worsening,5.8,Persistent post-2020 supply chain breakdowns and clinic closures led to a sustained uptick in child mortality.,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]
rev-mmr,"Maternal mortality ratio (per 100,000 live births)",D6 Reproductive & Child Health,2020,2019,179,198,10.6,Steady worsening,6.2,Loss of institutional deliveries and emergency obstetric transport reversed maternal survival trends.,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]
rev-nmr,"Neonatal mortality rate (per 1,000 live births)",D1 Mortality & Life Expectancy,2020,2019,21.5,23.4,8.8,Steady worsening,4.8,First 28-day newborn mortality increased as access to clean delivery kits and neonatal resuscitation dropped.,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]
rev-hiv,"HIV incidence (per 1,000 uninfected population)",D3 Communicable Diseases,None,2023,0.19,0.19,0,Improving,0,Decentralized ART distribution and community harm reduction networks successfully maintained progress.,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]
rev-hepb,Hepatitis B surface antigen prevalence in under-5s (%),D3 Communicable Diseases,None,2022,1.4,1.4,0,Improving,0,Residual cohort protection from the high infant HepB vaccination rates of 2010–2019.,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]
rev-stunting,Stunting prevalence among children under 5 (%),D10 Nutrition & Malnutrition,None,2023,25.2,25.2,0,Improving,0,"Long-term nutritional metric exhibiting secular reduction, though vulnerability remains elevated.",[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]
rev-suicide,"Suicide mortality rate (per 100,000 population)",D5 Mental Health & Substance Abuse,None,2022,2.9,2.9,0,Improving,0,Long-term secular decline recorded in official vital registration figures.,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]
rev-ncd,Probability of dying from NCDs between 30 and 70 (%),D4 Noncommunicable Diseases,None,2023,24.1,24.1,0,Improving,0,Gradual long-term demographic trend reflecting cumulative adult health investments.,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]
rev-wash,"Water, sanitation and hygiene diarrhoeal mortality (per 100k)",D7 Environmental Health,None,2022,18.4,18.4,0,Improving,0,Decentralized rural boreholes and latrine infrastructure sustained broad hygiene resilience.,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]
rev-alcohol,Alcohol per capita consumption (litres pure alcohol),D5 Mental Health & Substance Abuse,None,2022,2.1,2.1,0,Improving,0,Recorded per capita consumption held constant to slightly decreasing.,[object Object]; [object Object]; [object Object]; [object Object]
rev-tobacco,Prevalence of current tobacco use among adults (%),D4 Noncommunicable Diseases,None,2023,38.6,38.6,0,Improving,0,Gradual reduction from earlier peaks in adult male and female tobacco usage.,[object Object]; [object Object]; [object Object]; [object Object]
